1,Brooke ANDERSEN,23 AUG 1995,USA,1414,Hammer Throw
2,Janee' KASSANAVOID,19 JAN 1995,USA,1359,Hammer Throw
3,Camryn ROGERS,07 JUN 1999,CAN,1348,Hammer Throw
4,Malwina KOPRON,16 NOV 1994,POL,1293,Hammer Throw
5,Sara FANTINI,16 SEP 1997,ITA,1291,Hammer Throw
6,Bianca Florentina GHELBER,01 JUN 1990,ROU,1288,Hammer Throw
7,Hanna SKYDAN,14 MAY 1992,AZE,1255,Hammer Throw
8,Krista TERVO,15 NOV 1997,FIN,1240,Hammer Throw
9,Silja KOSONEN,16 DEC 2002,FIN,1233,Hammer Throw
10,Jillian WEIR,09 FEB 1993,CAN,1226,Hammer Throw
11,Annette Nneka ECHIKUNWOKE,29 JUL 1996,USA,1226,Hammer Throw
12,Katrine Koch JACOBSEN,24 JUN 1999,DEN,1214,Hammer Throw
13,Lauren BRUCE,23 MAR 1997,NZL,1204,Hammer Throw
14,Na LUO,08 OCT 1993,CHN,1202,Hammer Throw
15,Réka GYURÁTZ,31 MAY 1996,HUN,1189,Hammer Throw
16,Ewa RÓŻAŃSKA,22 DEC 2000,POL,1183,Hammer Throw
17,Alexandra TAVERNIER,13 DEC 1993,FRA,1183,Hammer Throw
18,Laura REDONDO,03 JUL 1988,ESP,1171,Hammer Throw
19,Alyssa WILSON,20 FEB 1999,USA,1170,Hammer Throw
20,Iryna KLYMETS,04 OCT 1994,UKR,1165,Hammer Throw
21,Stamatia SCARVELIS,17 AUG 1995,GRE,1164,Hammer Throw
22,Grete AHLBERG,29 MAY 1998,SWE,1160,Hammer Throw
23,Anastasiya MASLOVA,16 OCT 1997,BLR,1159,Hammer Throw
24,Sofiya PALKINA,09 JUN 1998,ANA,1156,Hammer Throw
25,Katarzyna FURMANEK,19 FEB 1996,POL,1149,Hammer Throw
26,DeAnna PRICE,08 JUN 1993,USA,1146,Hammer Throw
27,Gwen BERRY,29 JUN 1989,USA,1146,Hammer Throw
28,Nicole BRADLEY,23 APR 1992,NZL,1143,Hammer Throw
29,Janeah STEWART,21 JUL 1996,USA,1137,Hammer Throw
30,Alexandra HULLEY,24 JUL 1997,AUS,1137,Hammer Throw
31,Autavia FLUKER,06 JUN 1997,USA,1135,Hammer Throw
32,Zalina MARGHIEVA,05 FEB 1988,MDA,1134,Hammer Throw
33,Jiangyan LI,22 MAY 1999,CHN,1134,Hammer Throw
34,Beatrice Nedberge LLANO,14 DEC 1997,NOR,1132,Hammer Throw
35,Charlotte PAYNE,20 MAR 2002,GBR,1127,Hammer Throw
36,Yelizaveta TSAREVA,26 MAR 1993,RUS,1127,Hammer Throw
37,Rose LOGA,27 JUL 2002,FRA,1125,Hammer Throw
38,Vanessa STERCKENDRIES,15 SEP 1995,BEL,1125,Hammer Throw
39,Samantha BORUTTA,07 AUG 2000,GER,1125,Hammer Throw
40,Mariana Grasielly MARCELINO,16 JUL 1992,BRA,1122,Hammer Throw
41,Lara BOMAN,16 FEB 1996,USA,1122,Hammer Throw
42,Jie ZHAO,13 OCT 2002,CHN,1122,Hammer Throw
43,Kivilcim SALMAN,27 MAR 1992,TUR,1121,Hammer Throw
44,Sara KILLINEN,09 APR 2001,FIN,1121,Hammer Throw
45,Alena SOBALEVA,11 MAY 1993,BLR,1114,Hammer Throw
46,Xinying XU,17 FEB 1997,CHN,1112,Hammer Throw
47,Suvi KOSKINEN,24 APR 1997,FIN,1112,Hammer Throw
48,Veronika KAŇUCHOVÁ,19 APR 1993,SVK,1110,Hammer Throw
49,Jessica MAYHO,14 JUN 1993,GBR,1106,Hammer Throw
50,Lisa WILSON,29 MAR 1988,USA,1104,Hammer Throw
51,Kati OJALOO,31 JAN 1990,EST,1103,Hammer Throw
52,Anna PURCHASE,15 SEP 1999,GBR,1102,Hammer Throw
53,Katie HEAD,09 DEC 1999,GBR,1099,Hammer Throw
54,Madison MALONE,31 MAY 1999,USA,1096,Hammer Throw
55,Alona SHUT,27 DEC 1995,UKR,1095,Hammer Throw
56,Mayra Alexandra GAVIRIA,26 MAY 1997,COL,1093,Hammer Throw
57,Kaila BUTLER,16 JUL 1998,CAN,1090,Hammer Throw
58,Oyesade OLATOYE,25 JAN 1997,NGR,1089,Hammer Throw
59,Erin REESE,04 DEC 1995,USA,1087,Hammer Throw
60,Jillian SHIPPEE,19 APR 1999,USA,1086,Hammer Throw
61,Rawan AYMAN IBRAHIM BARAKAT,17 JUL 2001,EGY,1083,Hammer Throw
62,Anna Maria OREL,11 DEC 1996,EST,1081,Hammer Throw
63,Ximena ZORRILLA,02 NOV 2000,PER,1080,Hammer Throw
64,Rachele MORI,29 MAR 2003,ITA,1076,Hammer Throw
65,Shelby MORAN,03 APR 2000,USA,1074,Hammer Throw
66,Maryola BUKEL,09 JAN 2002,BLR,1074,Hammer Throw
67,Tara SIMPSON-SULLIVAN,02 DEC 2000,GBR,1073,Hammer Throw
68,Yaritza MARTÍNEZ,03 FEB 2000,CUB,1072,Hammer Throw
69,Anastasiya GRIGORYEVA,10 SEP 2002,RUS,1068,Hammer Throw
70,Amy PHILLIPS,22 MAY 1998,GBR,1067,Hammer Throw
71,Kiira VÄÄNÄNEN,06 JAN 1999,FIN,1067,Hammer Throw
72,Lauren JONES,14 APR 1999,USA,1065,Hammer Throw
73,Xena NGOMATEKE,26 AUG 1998,FRA,1063,Hammer Throw
74,Osarumen ODEH,15 NOV 1995,ESP,1063,Hammer Throw
75,Zsanett NÉMETH,19 DEC 2000,HUN,1059,Hammer Throw
76,Kajsa WENNBERG,17 OCT 1996,SWE,1059,Hammer Throw
77,Nayoka CLUNIS,07 OCT 1995,JAM,1057,Hammer Throw
78,Maddie NILLES,23 MAR 1997,USA,1057,Hammer Throw
79,Zouina BOUZEBRA,03 OCT 1990,ALG,1053,Hammer Throw
80,Weilu HUANG,20 JUL 1999,CHN,1051,Hammer Throw
81,Sara FORSSELL,19 NOV 2000,SWE,1051,Hammer Throw
82,Michelle DÖPKE,21 JUL 1997,GER,1047,Hammer Throw
83,Shauniece O'NEAL,05 AUG 1999,USA,1046,Hammer Throw
84,Erica BELVIT,09 NOV 1998,JAM,1045,Hammer Throw
85,Carolin PAESLER,16 DEC 1990,GER,1045,Hammer Throw
86,Amber SIMPSON,03 JAN 1999,GBR,1043,Hammer Throw
87,Aleksandra ŚMIECH,02 OCT 1997,POL,1042,Hammer Throw
88,Jalani DAVIS,USA,1040,Hammer Throw,
89,Adéla KOREČKOVÁ,05 JUL 1997,CZE,1039,Hammer Throw
90,Elisia LANCASTER,USA,1038,Hammer Throw,
91,Ana Adela STANCIU,13 JUN 2000,ROU,1035,Hammer Throw
92,Jade GATES,USA,1034,Hammer Throw,
93,Kayleigh PRESSWELL,14 MAR 1995,GBR,1034,Hammer Throw
94,Elísabet RÚNARSDÓTTIR,28 NOV 2002,ISL,1029,Hammer Throw
95,Anastasiya SHKURATOVA,29 DEC 1999,RUS,1029,Hammer Throw
96,Deenia MCMILLER,15 FEB 1998,USA,1027,Hammer Throw
97,Rebecka HALLERTH,04 JAN 1996,SWE,1027,Hammer Throw
98,Joy MCARTHUR,05 JUL 1999,JPN,1025,Hammer Throw
99,Natalia SÁNCHEZ,08 MAY 2000,ESP,1024,Hammer Throw
100,Ya-Chien YU,20 APR 1999,TPE,1023,Hammer Throw
