EVENT,Name,Rank,PB,SB,DOB,Age,Points
JT_women,Haruka KITAGUCHI,1,66.00,65.10,16-Mar-98,24,1335
JT_women,Kelsey-Lee BARBER,2,67.70,66.91,20-Sep-91,30,1329
JT_women,Kara WINGER,3,66.67,64.26,10-Apr-86,36,1287
JT_women,Mackenzie LITTLE,4,64.27,64.27,22-Dec-96,25,1284
JT_women,Nikola OGRODNÍKOVÁ,5,67.40,62.80,18-Aug-90,32,1281
JT_women,Līna MŪZE,6,64.87,62.88,4-Dec-92,29,1277
JT_women,Christin HUSSONG,7,69.19,64.87,17-Mar-94,28,1273
JT_women,Barbora ŠPOTÁKOVÁ,8,72.28,62.29,30-Jun-81,41,1249
JT_women,Liveta JASIŪNAITĖ,9,63.98,63.80,26-Jul-94,28,1240
JT_women,Elina TZENGKO,10,65.40,65.40,2-Sep-02,20,1223
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,